location,date,year,month_num,month_name,day_num,precipitation,temp_max,temp_min,wind,weather
Seattle,"September 17, 2012",2012,9,September,17,0,27.8,11.7,2.2,fog
Seattle,"September 18, 2012",2012,9,September,18,0,27.8,11.7,1.4,sun
Seattle,"September 19, 2012",2012,9,September,19,0,23.9,11.7,1.9,drizzle
Seattle,"September 20, 2012",2012,9,September,20,0,19.4,10,2.5,drizzle
Seattle,"September 21, 2012",2012,9,September,21,0,16.1,12.8,2.1,drizzle
Seattle,"September 22, 2012",2012,9,September,22,0.3,19.4,11.7,1.1,rain
Seattle,"September 23, 2012",2012,9,September,23,0,19.4,10,1.4,fog
Seattle,"September 24, 2012",2012,9,September,24,0,21.1,10,1.8,fog
Seattle,"September 25, 2012",2012,9,September,25,0,19.4,11.1,1.7,sun
Seattle,"September 26, 2012",2012,9,September,26,0,19.4,9.4,1.7,drizzle
Seattle,"September 27, 2012",2012,9,September,27,0,22.8,10,1.7,drizzle
Seattle,"September 28, 2012",2012,9,September,28,0,25,12.2,1.1,rain
Seattle,"September 29, 2012",2012,9,September,29,0,20.6,12.2,4.3,sun
Seattle,"September 30, 2012",2012,9,September,30,0,21.1,7.8,3.1,sun
Seattle,"October 1, 2012",2012,10,October,1,0,23.3,8.9,3,sun
Seattle,"October 2, 2012",2012,10,October,2,0,17.8,10,4.1,sun
Seattle,"October 3, 2012",2012,10,October,3,0,18.9,7.8,7.3,sun
Seattle,"October 4, 2012",2012,10,October,4,0,18.9,8.3,6.5,sun
Seattle,"October 5, 2012",2012,10,October,5,0,21.7,8.9,5.7,sun
Seattle,"October 6, 2012",2012,10,October,6,0,23.9,7.8,5.1,sun
Seattle,"October 7, 2012",2012,10,October,7,0,23.9,7.8,1.3,sun
Seattle,"October 8, 2012",2012,10,October,8,0,21.1,7.8,1.9,sun
Seattle,"October 9, 2012",2012,10,October,9,0,16.1,8.9,1.6,drizzle
Seattle,"October 10, 2012",2012,10,October,10,0,12.2,8.3,1.4,drizzle
Seattle,"October 11, 2012",2012,10,October,11,0,13.9,7.2,1.3,drizzle
Seattle,"October 12, 2012",2012,10,October,12,2,13.9,8.9,4.6,rain
Seattle,"October 13, 2012",2012,10,October,13,4.8,15.6,12.2,3.9,rain
Seattle,"October 14, 2012",2012,10,October,14,16.5,17.8,13.3,3.4,rain
Seattle,"October 15, 2012",2012,10,October,15,7.9,17.2,11.1,4.6,rain
Seattle,"October 16, 2012",2012,10,October,16,0,16.1,8.3,5.5,sun
Seattle,"October 17, 2012",2012,10,October,17,0,14.4,6.1,1.6,sun
Seattle,"October 18, 2012",2012,10,October,18,20.8,17.8,6.7,2,rain
Seattle,"October 19, 2012",2012,10,October,19,4.8,15,9.4,5.3,rain
Seattle,"October 20, 2012",2012,10,October,20,0.5,11.1,6.1,5.7,rain
Seattle,"October 21, 2012",2012,10,October,21,6.4,11.7,4.4,2.7,rain
Seattle,"October 22, 2012",2012,10,October,22,8.9,7.8,3.3,2.6,rain
Seattle,"October 23, 2012",2012,10,October,23,0,11.1,5.6,3,rain
Seattle,"October 24, 2012",2012,10,October,24,7.1,11.7,6.1,2.1,rain
Seattle,"October 25, 2012",2012,10,October,25,0,11.7,6.7,1.5,sun
Seattle,"October 26, 2012",2012,10,October,26,1.5,11.1,7.2,2.5,rain
Seattle,"October 27, 2012",2012,10,October,27,23.1,14.4,9.4,5.1,rain
Seattle,"October 28, 2012",2012,10,October,28,6.1,14.4,10,3.8,rain
Seattle,"October 29, 2012",2012,10,October,29,10.9,15.6,10,4.9,rain
Seattle,"October 30, 2012",2012,10,October,30,34.5,15,12.2,2.8,rain
Seattle,"October 31, 2012",2012,10,October,31,14.5,15.6,11.1,2.7,rain
Seattle,"November 1, 2012",2012,11,November,1,9.7,15,10.6,3,rain
Seattle,"November 2, 2012",2012,11,November,2,5.6,15,10.6,1,rain
Seattle,"November 3, 2012",2012,11,November,3,0.5,15.6,11.1,3.6,rain
Seattle,"November 4, 2012",2012,11,November,4,8.1,17.8,12.8,3.8,rain
Seattle,"November 5, 2012",2012,11,November,5,0.8,15,7.8,4,rain
Seattle,"November 6, 2012",2012,11,November,6,0.3,12.8,6.7,3.5,rain
Seattle,"November 7, 2012",2012,11,November,7,0,12.2,3.9,3.4,rain
Seattle,"November 8, 2012",2012,11,November,8,0,10,1.1,3.4,rain
Seattle,"November 9, 2012",2012,11,November,9,0,8.9,1.1,2,rain
Seattle,"November 10, 2012",2012,11,November,10,0,7.8,-0.6,2.2,sun
Seattle,"November 11, 2012",2012,11,November,11,15.2,8.9,1.1,3,rain
Seattle,"November 12, 2012",2012,11,November,12,3.6,12.8,6.1,3,rain
Seattle,"November 13, 2012",2012,11,November,13,5.3,11.1,7.8,2.5,rain
Seattle,"November 14, 2012",2012,11,November,14,0.8,11.1,5,2.6,rain
Seattle,"November 15, 2012",2012,11,November,15,0,9.4,2.8,2.4,drizzle
Seattle,"November 16, 2012",2012,11,November,16,5.6,9.4,2.2,1.6,rain
Seattle,"November 17, 2012",2012,11,November,17,6.1,12.2,6.1,5.3,rain
Seattle,"November 18, 2012",2012,11,November,18,7.9,10,6.1,4.9,rain
Seattle,"November 19, 2012",2012,11,November,19,54.1,13.3,8.3,6,rain
Seattle,"November 20, 2012",2012,11,November,20,3.8,11.1,7.2,4.2,rain
Seattle,"November 21, 2012",2012,11,November,21,11.2,8.3,3.9,5.5,rain
Seattle,"November 22, 2012",2012,11,November,22,0,8.9,2.8,1.5,rain
Seattle,"November 23, 2012",2012,11,November,23,32,9.4,6.1,2.4,rain
Seattle,"November 24, 2012",2012,11,November,24,0,8.9,3.9,1.2,rain
Seattle,"November 25, 2012",2012,11,November,25,0,8.3,1.1,3.6,drizzle
Seattle,"November 26, 2012",2012,11,November,26,0,9.4,1.7,3.8,fog
Seattle,"November 27, 2012",2012,11,November,27,0,10,1.7,1.5,sun
Seattle,"November 28, 2012",2012,11,November,28,2.8,9.4,2.2,2.9,rain
Seattle,"November 29, 2012",2012,11,November,29,1.5,12.8,7.8,4.2,rain
Seattle,"November 30, 2012",2012,11,November,30,35.6,15,7.8,4.6,rain
Seattle,"December 1, 2012",2012,12,December,1,4.1,13.3,8.3,5.5,rain
Seattle,"December 2, 2012",2012,12,December,2,19.6,8.3,7.2,6.2,rain
Seattle,"December 3, 2012",2012,12,December,3,13,9.4,7.2,4.4,rain
Seattle,"December 4, 2012",2012,12,December,4,14.2,11.7,7.2,6.2,rain
Seattle,"December 5, 2012",2012,12,December,5,1.5,8.9,4.4,5,rain
Seattle,"December 6, 2012",2012,12,December,6,1.5,7.2,6.1,5.1,rain
Seattle,"December 7, 2012",2012,12,December,7,1,7.8,3.3,4.6,rain
Seattle,"December 8, 2012",2012,12,December,8,0,6.7,3.3,2,sun
Seattle,"December 9, 2012",2012,12,December,9,1.5,6.7,2.8,2.1,rain
Seattle,"December 10, 2012",2012,12,December,10,0.5,7.2,5.6,1.8,rain
